t_s,count,errors,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
0,211,0,112.6220611373933,46.49309999513207,298.4479999940959,300.33199999888893,311.17600000288803
1,379,0,188.72575593662972,295.6302000020514,299.0605999948457,300.0081999998656,310.13220000022557
2,550,0,220.93510218161762,297.3197999963304,337.7039999977569,362.96260000381153,365.18290000094566
3,621,0,223.39097777783743,301.3241999942693,406.44410000095377,454.2912000033539,461.6963000007672
4,635,0,206.59285826779495,297.3411999992095,323.0290999999852,327.1290999982739,328.26969999587163
5,647,0,205.4223579597626,298.59480000595795,319.7358000034001,327.9049999982817,329.77699999901233
6,648,0,206.83997839518673,297.9044000021531,313.69619999895804,328.9316000009421,330.1372999994783
7,643,0,206.4380135305619,297.6496000046609,315.10749999870313,330.92459999897983,332.3367000048165
8,647,0,203.98117990724757,296.723599996767,312.69590000010794,315.7163999931072,317.1359999978449
9,644,0,205.02805279495348,297.1709999983432,313.028900003701,316.4716999963275,327.8645000027609
10,404,0,251.27827004950748,307.2775999971782,324.0129999976489,327.48150000406895,329.02249999460764
11,273,0,241.47872600729272,309.9067000002833,335.56400000088615,340.9133000022848,341.44019999803277
12,98,0,153.02593061256184,46.94619999645511,325.24150000244845,326.8608999933349,327.2830999994767
